Wall time,Step,Value
1767618209.5142431,576,6.838597297668457
1767618209.5872612,672,6.803024768829346
1767618209.8967743,1056,6.8782639503479
1767618209.9712021,1152,6.890823841094971
1767618210.1228933,1344,6.886261463165283
1767618210.2048283,1440,6.848852157592773
1767618210.281639,1536,6.873963356018066
1767618210.510277,1824,6.877030372619629
1767618210.58664,1920,6.880213260650635
1767618210.6648226,2016,6.885143756866455
1767618210.9737484,2400,6.844305038452148
1767618211.7179716,3264,6.790037155151367
1767618211.8015895,3360,6.803898811340332
1767618211.9616494,3552,6.8297038078308105
1767618212.2933385,3936,6.869842052459717
1767618212.4488459,4128,6.86030387878418
1767618212.6091423,4320,6.859414577484131
1767618212.6913142,4416,6.869292736053467
1767618212.852321,4608,6.922966003417969
1767618213.0136054,4800,6.931251049041748
1767618213.0905821,4896,6.940520286560059
1767618214.9970472,5184,6.923404693603516
1767618215.3331704,5280,6.9245710372924805
1767618215.6695297,5376,6.9631805419921875
1767618216.00402,5472,6.975795269012451
1767618216.332476,5568,6.990725994110107
1767618217.4630363,5856,6.994194030761719
1767618217.8432646,5952,6.952814102172852
1767618218.5367522,6144,6.906611442565918
1767618219.234714,6336,6.8885579109191895
1767618219.5970724,6432,6.898545265197754
1767618219.9450834,6528,6.901250839233398
1767618220.29551,6624,6.916006088256836
1767618221.3693738,6912,6.866798400878906
1767618221.7408357,7008,6.8366780281066895
1767618222.0869732,7104,6.83826208114624
1767618222.4377327,7200,6.848943710327148
1767618224.2116303,7680,6.909927845001221
1767618225.94447,8160,6.846627235412598
1767618226.2813554,8256,6.861908435821533
1767618226.6213977,8352,6.871361255645752
1767618226.949656,8448,6.872192859649658
1767618227.27412,8544,6.902318954467773
1767618227.6336508,8640,6.928739070892334
1767618229.6931732,9120,6.960654258728027
1767618234.0224814,9888,6.998711109161377
1767618236.6559696,10176,7.0314459800720215
1767618237.1149166,10272,7.041832447052002
1767618240.382467,10944,7.0128865242004395
1767618241.7859013,11232,7.003718852996826
1767618242.6249502,11424,6.983271598815918
1767618243.017031,11520,6.97576379776001
1767618243.4118822,11616,6.963566780090332
1767618245.0282485,12000,6.952974319458008
